iter	Passed	Remaining
0	1572	7861743
1	3139	7845111
2	4053	6751013
3	5012	6260916
4	5958	5952925
5	6784	5646753
6	7744	5524393
7	8580	5354251
8	9385	5204980
9	10238	5109226
10	11071	5021312
11	11897	4945324
12	12715	4878015
13	13543	4823522
14	14328	4761769
15	15138	4715510
16	15957	4677541
17	16768	4641267
18	17618	4618753
19	18434	4590281
20	19278	4570827
21	20087	4545278
22	20930	4529114
23	21742	4507996
24	22587	4494992
25	23518	4499344
26	24360	4486867
27	25182	4471662
28	25981	4453672
29	26770	4434996
30	27668	4435061
31	28527	4428884
32	29316	4412529
33	30214	4413054
34	31102	4412075
35	31973	4408722
36	32995	4425917
37	33878	4423771
38	34737	4418818
39	35570	4410686
40	36402	4402986
41	37259	4398378
42	38108	4393129
43	38936	4385665
44	39768	4378980
45	40601	4372637
46	41385	4361361
47	42210	4354767
48	43040	4348879
49	43851	4341339
50	44721	4339768
51	45593	4338373
52	46436	4334360
53	47255	4328231
54	48096	4324289
55	48902	4317350
56	49731	4312705
57	50664	4316951
58	51590	4320462
59	52443	4317824
60	53267	4312917
61	54125	4310852
62	55018	4311561
63	55833	4306136
64	56733	4307383
65	57694	4313069
66	58577	4312898
67	59509	4316169
68	60498	4323459
69	61416	4325469
70	62258	4322163
71	63095	4318526
72	63925	4314555
73	64894	4319861
74	65795	4320589
75	66610	4315633
76	67463	4313281
77	68331	4311909
78	69215	4311519
79	70087	4310371
80	70895	4305361
81	71730	4302072
82	72575	4299413
83	73390	4295107
84	74337	4298436
85	75169	4295161
86	76101	4297538
87	76918	4293433
88	77867	4296703
89	78692	4293107
90	79577	4292828
91	80406	4289500
92	81257	4287403
93	82045	4282095
94	82879	4279195
95	83680	4274682
96	84542	4273298
97	85421	4272831
98	86243	4269499
99	87098	4267802
100	87903	4263752
101	88741	4261341
102	89592	4259569
103	90478	4259446
104	91377	4259915
105	92225	4258017
106	93055	4255342
107	93950	4255592
108	94867	4256850
109	95682	4253522
110	96562	4253120
111	97405	4251072
112	98269	4249942
113	99123	4248400
114	99967	4246437
115	100795	4243856
116	101636	4241822
117	102506	4240978
118	103390	4240740
119	104242	4239191
120	105190	4241522
121	106163	4244808
122	107001	4242661
123	107836	4240421
124	108754	4241430
125	109691	4243158
126	110524	4240832
127	111416	4240807
128	112298	4240348
129	113285	4243845
130	114162	4243196
131	115022	4241903
132	115821	4238364
133	116650	4235972
134	117479	4233625
135	118336	4232269
136	119274	4233801
137	120091	4231043
138	120957	4230047
139	121803	4228324
140	122690	4228040
141	123523	4225882
142	124391	4224975
143	125251	4223770
144	126141	4223557
145	126992	4222062
146	127826	4220013
147	128632	4217055
148	129478	4215435
149	130331	4214040
150	131181	4212575
151	132043	4211502
152	132878	4209550
153	133761	4209136
154	134576	4206604
155	135425	4205139
156	136263	4203347
157	137111	4201848
158	137946	4200006
159	138774	4197921
160	139605	4195974
161	140434	4193974
162	141307	4193289
163	142144	4191536
164	143048	4191769
165	143840	4188709
166	144675	4186926
167	145571	4186916
168	146403	4185067
169	147204	4182348
170	148037	4180536
171	148881	4179060
172	149696	4176784
173	150587	4176640
174	151444	4175541
175	152301	4174447
176	153110	4172035
177	153951	4170540
178	154805	4169379
179	155672	4168562
180	156538	4167725
181	157381	4166286
182	158233	4165089
183	159067	4163430
184	159899	4161706
185	160772	4161081
186	161593	4159084
187	162434	4157630
188	163313	4157155
189	164125	4154957
190	165022	4154933
191	165826	4152576
192	166659	4150938
193	167487	4149204
194	168365	4148706
195	169204	4147237
196	170030	4145475
197	170899	4144745
198	171715	4142748
199	172552	4141266
200	173385	4139697
201	174207	4137856
202	175016	4135743
203	175839	4133943
204	176682	4132648
205	177532	4131503
206	178348	4129578
207	179159	4127565
208	179996	4126136
209	181635	4143025
210	182458	4141213
211	183340	4140738
212	184306	4142131
213	185394	4146251
214	186393	4148343
215	187344	4149339
216	188271	4149780
217	189263	4151648
218	190277	4153966
219	191304	4156517
220	192166	4155483
221	193029	4154476
222	193909	4153843
223	194757	4152509
224	195623	4151565
225	196471	4150241
226	197372	4150043
227	198256	4149471
228	199061	4147262
229	199906	4145894
230	200860	4146761
231	201800	4147353
232	202673	4146550
233	203496	4144726
234	204338	4143289
235	205144	4141139
236	206002	4140038
237	206850	4138751
238	207699	4137476
239	208519	4135632
240	209346	4133951
241	210216	4133095
242	211067	4131883
243	211962	4131540
244	212769	4129463
245	213619	4128245
246	214451	4126674
247	215313	4125681
248	216259	4126296
249	217135	4125577
250	218031	4125226
251	218889	4124149
252	219759	4123318
253	220612	4122152
254	221472	4121122
255	222330	4120068
256	223170	4118661
257	224025	4117559
258	224863	4116122
259	225678	4114286
260	226511	4112795
261	227336	4111137
262	228301	4112024
263	229145	4110730
264	229977	4109223
265	230818	4107875
266	231664	4106615
267	232498	4105168
268	233318	4103465
269	234157	4102086
270	234996	4100724
271	235951	4101399
272	236916	4102206
273	237798	4101592
274	238635	4100192
275	239531	4099804
276	240389	4098763
277	241248	4097752
278	242094	4096523
279	242917	4094901
280	243758	4093589
281	244585	4092028
282	245405	4090375
283	246262	4089346
284	247164	4089061
285	247992	4087545
286	248812	4085901
287	249625	4084148
288	250511	4083589
289	251390	4082926
290	252240	4081792
291	253094	4080711
292	253897	4078831
293	254791	4078403
294	255614	4076828
295	256483	4076006
296	257301	4074374
297	258143	4073125
298	258961	4071497
299	259820	4070514
300	260666	4069335
301	261541	4068615
302	262350	4066872
303	263186	4065543
304	264127	4065825
305	264948	4064274
306	265783	4062942
307	266633	4061834
308	267500	4060979
309	268329	4059564
310	269203	4058820
311	270096	4058378
312	271030	4058534
313	271913	4057917
314	272774	4056980
315	273619	4055804
316	274481	4054885
317	275291	4053189
318	276141	4052093
319	276990	4050985
320	277842	4049921
321	278686	4048744
322	279543	4047759
323	280353	4046093
324	281229	4045373
325	282070	4044167
326	282895	4042723
327	283695	4040924
328	284528	4039608
329	285390	4038702
330	286212	4037243
331	287010	4035437
332	287853	4034273
333	288668	4032719
334	289526	4031764
335	290334	4030122
336	291168	4028841
337	292029	4027928
338	292888	4027002
339	293750	4026103
340	294596	4025005
341	295429	4023721
342	296279	4022670
343	297102	4021244
344	297933	4019937
345	298777	4018817
346	299627	4017770
347	300499	4017019
348	301282	4015090
349	302124	4013938
350	302947	4012544
351	304000	4014187
352	304789	4012345
353	305651	4011466
354	306452	4009780
355	307324	4009033
356	308147	4007647
357	308980	4006392
358	309813	4005132
359	310646	4003892
360	311527	4003263
361	312368	4002117
362	313289	4001994
363	314143	4001016
364	314946	3999392
365	315787	3998254
366	316627	3997095
367	317475	3996048
368	318308	3994816
369	319135	3993501
370	319988	3992524
371	320868	3991877
372	321765	3991449
373	322656	3990932
374	323513	3990003
375	324460	3990175
376	325353	3989685
377	326313	3989998
378	327226	3989740
379	328152	3989649
380	329010	3988707
381	329877	3987887
382	330758	3987239
383	331672	3986984
384	332580	3986651
385	333471	3986102
386	334375	3985722
387	335263	3985142
388	336167	3984753
389	337040	3983990
390	337872	3982747
391	338755	3982108
392	339581	3980788
393	340496	3980526
394	341376	3979844
395	342230	3978867
396	343187	3979073
397	344075	3978485
398	344959	3977836
399	345865	3977457
400	346672	3975929
401	347534	3975034
402	348392	3974093
403	349265	3973330
404	350107	3972208
405	350932	3970900
406	351757	3969590
407	352714	3969764
408	353617	3969333
409	354478	3968427
410	355331	3967438
411	356169	3966273
412	357042	3965501
413	357890	3964459
414	358777	3963847
415	359625	3962794
416	360516	3962226
417	361391	3961470
418	362239	3960430
419	363110	3959628
420	363955	3958561
421	364835	3957863
422	365677	3956753
423	366496	3955393
424	367311	3953994
425	368135	3952707
426	369002	3951868
427	370001	3952444
428	370783	3950699
429	371645	3949808
430	372465	3948482
431	373277	3947063
432	374187	3946684
433	375131	3946659
434	376091	3946802
435	376999	3946392
436	377826	3945130
437	378669	3944037
438	379508	3942908
439	380325	3941555
440	381150	3940285
441	382051	3939798
442	382905	3938825
443	383817	3938449
444	384624	3936998
445	385450	3935741
446	386297	3934700
447	387131	3933530
448	387977	3932484
449	388854	3931754
450	389721	3930912
451	390647	3930674
452	391536	3930059
453	392458	3929768
454	393304	3928719
455	394147	3927644
456	395002	3926691
457	395830	3925459
458	396677	3924423
459	397502	3923179
460	398405	3922690
461	399218	3921331
462	400059	3920237
463	400894	3919092
464	401753	3918179
465	402643	3917570
466	403489	3916521
467	404375	3915876
468	405192	3914558
469	406030	3913443
470	406840	3912056
471	407668	3910850
472	408498	3909666
473	409325	3908456
474	410178	3907493
475	411048	3906684
476	411856	3905298
477	412743	3904661
478	413576	3903502
479	414414	3902407
480	415294	3901691
481	416117	3900454
482	417002	3899792
483	417818	3898491
484	418656	3897391
485	419496	3896310
486	420390	3895737
487	421245	3894794
488	422069	3893566
489	422890	3892316
490	423734	3891281
491	424568	3890152
492	425634	3891148
493	426448	3889829
494	427307	3888926
495	428109	3887507
496	428950	3886444
497	429794	3885414
498	430632	3884325
499	431490	3883412
